seed,episode,total_reward,fuel_consumption,success,crash,steps
42,1,-370.80456598698913,171.09000000000083,0,0,1000
42,2,-351.3724392390896,170.6700000000008,0,0,1000
42,3,-323.76628894937534,171.84000000000088,0,0,1000
42,4,-371.81730703642614,175.83000000000104,0,0,1000
42,5,-306.835805153669,178.71000000000112,0,0,1000
42,6,-372.23963427542213,169.44000000000077,0,0,1000
42,7,-388.33444923809236,171.54000000000084,0,0,1000
42,8,-382.10874825616105,176.13000000000102,0,0,1000
42,9,-340.6356932079364,180.6300000000012,0,0,1000
42,10,-348.32766309084985,172.9200000000009,0,0,1000
42,11,-299.28075842544047,179.22000000000116,0,0,1000
42,12,-392.74211173501084,174.33000000000095,0,0,1000
42,13,-314.6641518092327,175.590000000001,0,0,1000
42,14,-318.13486883473377,179.52000000000115,0,0,1000
42,15,-310.63368180893985,178.44000000000113,0,0,1000
42,16,-326.6584949090083,170.0700000000008,0,0,1000
42,17,-322.91746089957934,176.25000000000102,0,0,1000
42,18,-330.9589115274274,174.15000000000094,0,0,1000
42,19,-376.0964185409994,174.00000000000094,0,0,1000
42,20,-385.65747548395234,170.5800000000008,0,0,1000
42,21,-342.66916113333,173.40000000000092,0,0,1000
42,22,-338.2269789774587,175.05000000000098,0,0,1000
42,23,-329.1067629834891,178.68000000000112,0,0,1000
42,24,-322.802138196691,174.87000000000094,0,0,1000
42,25,-346.29280208516246,172.05000000000086,0,0,1000
42,26,-340.43889740724893,173.43000000000092,0,0,1000
42,27,-330.2922193331612,175.950000000001,0,0,1000
42,28,-328.1572795410863,175.410000000001,0,0,1000
42,29,-293.95755437692975,179.67000000000115,0,0,1000
42,30,-373.48613993908555,177.1800000000011,0,0,1000
101,1,-336.1552585197706,180.2700000000012,0,0,1000
101,2,-359.16007010192567,174.48000000000096,0,0,1000
101,3,-367.3620822690682,171.48000000000084,0,0,1000
101,4,-363.55790559421723,173.97000000000094,0,0,1000
101,5,-332.4254788048885,181.68000000000123,0,0,1000
101,6,-290.5287883907711,176.94000000000105,0,0,1000
101,7,-287.62930924064926,175.500000000001,0,0,1000
101,8,-345.9026225671743,179.40000000000114,0,0,1000
101,9,-351.0832668083246,174.51000000000096,0,0,1000
101,10,-326.2257486103632,177.7500000000011,0,0,1000
101,11,-333.8138715542125,179.97000000000116,0,0,1000
101,12,-330.86198382359885,173.70000000000093,0,0,1000
101,13,-335.07671419895314,177.09000000000106,0,0,1000
101,14,-358.745068381391,175.830000000001,0,0,1000
101,15,-353.4424259854618,174.90000000000097,0,0,1000
101,16,-331.1512088965968,173.3100000000009,0,0,1000
101,17,-324.98942066997154,174.21000000000095,0,0,1000
101,18,-379.6094031239041,175.710000000001,0,0,1000
101,19,-351.117217966104,173.64000000000092,0,0,1000
101,20,-351.291754285881,181.0800000000012,0,0,1000
101,21,-319.487681486859,174.48000000000096,0,0,1000
101,22,-350.3276199801084,181.44000000000122,0,0,1000
101,23,-319.6894407623499,179.49000000000115,0,0,1000
101,24,-305.0638020480527,176.58000000000104,0,0,1000
101,25,-349.97251577868684,173.3700000000009,0,0,1000
101,26,-331.7358377388986,174.06000000000094,0,0,1000
101,27,-324.4914238839605,175.950000000001,0,0,1000
101,28,-355.1668339691517,177.00000000000105,0,0,1000
101,29,-325.9201768125576,172.92000000000093,0,0,1000
101,30,-335.2233176798731,175.890000000001,0,0,1000
2024,1,-341.65113640239326,172.65000000000092,0,0,1000
2024,2,-316.0522259056499,175.17000000000098,0,0,1000
2024,3,-378.31634255748816,172.17000000000087,0,0,1000
2024,4,-288.2874583787774,178.56000000000114,0,0,1000
2024,5,-337.39709205034575,174.51000000000096,0,0,1000
2024,6,-337.04339973172927,179.37000000000114,0,0,1000
2024,7,-353.1343078216706,176.82000000000104,0,0,1000
2024,8,-340.2985804737034,175.17000000000098,0,0,1000
2024,9,-333.9210982834439,172.8000000000009,0,0,1000
2024,10,-292.5541935715489,177.84000000000108,0,0,1000
2024,11,-383.86828148661823,175.350000000001,0,0,1000
2024,12,-348.78604328051335,170.4900000000008,0,0,1000
2024,13,-356.6196973456668,174.39000000000095,0,0,1000
2024,14,-358.4002903136775,177.8700000000011,0,0,1000
2024,15,-330.4940190252156,176.85000000000105,0,0,1000
2024,16,-360.05887108182696,167.19000000000068,0,0,1000
2024,17,-383.2255177208621,176.25000000000102,0,0,1000
2024,18,-368.9192171309079,176.91000000000105,0,0,1000
2024,19,-318.2711122174138,171.75000000000085,0,0,1000
2024,20,-341.44626189921973,176.46000000000103,0,0,1000
2024,21,-361.6758495111577,179.28000000000114,0,0,1000
2024,22,-392.88423770489237,170.3700000000008,0,0,1000
2024,23,-330.55639530660443,178.5600000000011,0,0,1000
2024,24,-297.5922277499291,184.59000000000134,0,0,1000
2024,25,-365.27885818195,172.9200000000009,0,0,1000
2024,26,-344.5010321883916,173.76000000000093,0,0,1000
2024,27,-374.0029313782171,171.78000000000085,0,0,1000
2024,28,-370.0179443148614,169.5900000000008,0,0,1000
2024,29,-386.09018527262094,171.87000000000086,0,0,1000
2024,30,-385.38749964351973,174.21000000000095,0,0,1000
