episode,reward
123,-128.4028835762074
124,-558.795018252992
125,-192.0785694188387
126,-141.23321304533124
127,-255.46710265414643
128,-217.44662685235468
129,-132.372885105427
130,-68.55076229648542
131,-271.690750056822
132,-150.85977486299484
133,-148.96154675138962
134,-258.7323700479095
135,-665.2608495419648
136,-225.72569390571232
137,-387.9831096277049
138,-94.8000741584909
139,-137.56775413830468
140,-175.5447505453667
141,-116.48330923954956
142,-194.13162400935687
143,-209.42400847592972
144,-130.3229028769027
145,-134.24794396702632
146,-220.06100960011202
147,-300.86451971522933
148,-124.78693179938062
149,-97.33309279881432
150,-606.669324066535
151,-208.64643315803377
152,-169.73059898217429
153,-101.88474459230449
154,-98.55242637441157
155,-123.36393289910296
156,-88.44195315322074
157,-107.73041249909633
158,-107.53036806760394
159,-141.24140771135214
160,-153.96839394373472
161,-150.43451157719096
162,-138.6174754395979
163,-102.24968931347578
164,-434.77079266324665
165,-249.86653670279097
166,-149.50274618048698
167,-129.86305077027603
168,-16.192601556040373
169,-112.02722825965
170,-117.85603054630342
171,-207.48264973451157
172,-281.3381709980507
173,-370.5853548385877
174,-189.91615553854672
175,-84.92284545033178
176,-255.92740224947772
177,-173.30248288351757
178,-65.65949454641424
179,-263.83977637853013
180,-224.44417980660825
181,-93.904884467415
182,-225.28241581391651
183,-135.65101381672594
184,-190.9029574808385
185,-101.97688417606352
186,-169.82018951818338
187,-283.11005035415144
188,-79.38291435367412
189,-343.6690166921569
190,-132.11100807839892
191,-125.15271727891212
192,-93.52815838301366
193,-195.51287542477468
194,-353.09902597882274
195,-1.1110368118892495
196,-74.93085577814281
197,-192.4185788548333
198,-260.88811472771965
199,-364.2874736586241
200,-49.94071164637733
201,-212.04022505999947
202,-354.41496413813536
203,-119.03877158689988
204,-126.7863403160447
205,-106.87982841667477
206,-273.95982206937384
207,-72.17708414888789
208,-180.7111799503872
209,-133.5542869696909
210,-231.41275368549086
211,-80.02980896634409
212,-131.55323373652877
213,-120.19834344804627
214,-243.6799333121905
215,-298.2151839175847
216,-73.86722458717774
217,-356.66635404118654
218,-80.74598644890507
219,-143.13105782693827
220,-175.51856744888119
221,-66.32150127430783
222,-112.29733122435114
223,-211.7777449807965
224,-213.60445200854758
225,-117.05071916667383
226,-168.7289947651173
227,-97.52899938870075
228,-227.44809600525798
229,-125.04664042903798
230,-120.76204205069463
231,-157.1633466421004
232,-68.09418382184725
233,-79.03626606272901
234,-106.50323579642443
235,-288.3507585299494
236,-94.9417794544548
237,-98.77596100974895
238,-99.99399977049237
239,-81.18489616361873
240,-147.7378469983742
241,-107.72218027974263
242,-230.24909204043067
243,-55.53528589665187
244,-110.91553656729307
245,-113.91594236237839
246,-262.9326987762016
247,-143.39573483274285
248,-302.95851052506606
249,-252.71362587380764
250,-117.37835556696587
251,-244.73420251109843
252,-115.22615309333976
253,-87.16012653809425
254,-210.88650635387611
255,-143.84566767629934
256,-117.21103295635075
257,-150.2779227625944
258,-101.50580590717544
259,-87.54783012940098
260,-148.70599938498157
261,-82.41087319884637
262,-162.9763326035967
263,-185.0697224937095
264,-176.1899241838871
265,66.20105754841202
266,-145.07749810069194
267,24.28351893540298
268,-157.52349927655723
269,-148.13302630341465
270,-141.97161750785165
271,-155.4212237633501
272,-90.49711417426177
273,-176.93766705125495
274,-101.29731034836492
275,-133.4976868584274
276,-100.8970469881935
277,-169.15895263159908
278,-160.64471459921253
279,-145.05025219802536
280,-128.4497235178983
281,-220.29173503754785
282,-36.67654111206704
283,-131.7301645520044
284,-150.70640765461425
285,-123.86403765475139
286,-133.01403989052866
287,-120.8975366077846
288,-202.64126408620902
289,-96.30745768141962
290,-103.96326829626167
291,-124.33975263338661
292,-92.86665780758133
293,-147.26410201969026
294,-114.69046584646668
295,-99.085265536682
296,-93.14655491239677
297,-310.7799052847772
298,-84.75689831710713
299,-159.2702480885649
300,-170.2788314386446
